,id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
264,265,1.4144956640000002,female,16.0,e. nor. central,61.0,158201.8412,31.0,,53.0,37.6,mod. satisfied,agree,strongly disagree,disagree,strongly disagree,agree
265,266,1.885994219,male,13.0,e. nor. central,19.0,38555.0,,49.0,54.0,,,agree,strongly disagree,disagree,strongly disagree,strongly agree
266,267,0.9429971097,male,16.0,e. nor. central,58.0,70100.0,46.0,,60.0,52.0,mod. satisfied,,,,,
267,268,0.9429971097,female,14.0,e. nor. central,50.0,57832.5,46.0,35.0,49.0,59.8,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
268,269,0.9429971097,male,16.0,e. nor. central,36.0,98140.0,40.0,64.0,50.0,33.4,mod. satisfied,,,,,
269,270,1.4144956640000002,female,12.0,e. nor. central,27.0,57832.5,25.0,28.0,,12.6,mod. satisfied,agree,disagree,disagree,disagree,strongly agree
270,271,0.47149855479999997,male,12.0,e. nor. central,51.0,47317.5,44.0,28.0,34.0,25.1,mod. satisfied,,,,,
271,272,3.53845194,male,18.0,e. nor. central,48.0,9638.75,40.0,,35.0,49.4,very satisfied,strongly agree,disagree,disagree,disagree,disagree
272,273,1.4144956640000002,female,14.0,e. nor. central,29.0,47317.5,55.0,35.0,39.0,58.6,mod. satisfied,,,,,
273,274,0.9429971097,female,19.0,e. nor. central,65.0,70100.0,48.0,47.0,42.0,26.1,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,agree
274,275,0.47149855479999997,female,16.0,e. nor. central,67.0,57832.5,55.0,,53.0,70.4,,,,,,
275,276,0.9429971097,male,16.0,e. nor. central,53.0,84120.0,72.0,53.0,52.0,77.4,very satisfied,strongly agree,disagree,disagree,disagree,disagree
276,277,0.9429971097,male,18.0,e. nor. central,45.0,158201.8412,72.0,56.0,45.0,77.4,very satisfied,,,,,
277,278,0.47149855479999997,female,15.0,e. nor. central,36.0,22782.5,48.0,73.0,43.0,20.1,a little dissat,,,,,
278,279,0.9429971097,male,12.0,e. nor. central,60.0,84120.0,49.0,24.0,49.0,46.0,very satisfied,,,,,
279,280,1.4144956640000002,female,16.0,e. nor. central,63.0,158201.8412,57.0,48.0,38.0,53.8,a little dissat,agree,disagree,disagree,strongly disagree,disagree
280,281,0.47149855479999997,female,12.0,e. nor. central,52.0,47317.5,53.0,31.0,48.0,68.6,a little dissat,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree
281,282,0.9429971097,male,13.0,e. nor. central,34.0,57832.5,31.0,47.0,38.0,39.7,mod. satisfied,,,,,
282,283,0.9429971097,male,14.0,e. nor. central,58.0,,24.0,47.0,31.0,20.7,mod. satisfied,agree,disagree,disagree,disagree,agree
283,284,0.9429971097,male,12.0,e. nor. central,63.0,98140.0,65.0,38.0,39.0,85.2,,agree,disagree,disagree,disagree,disagree
284,285,0.9429971097,female,16.0,e. nor. central,71.0,47317.5,72.0,,35.0,77.4,,,,,,
285,286,1.4144956640000002,female,12.0,e. nor. central,67.0,84120.0,49.0,,59.0,37.9,,strongly agree,strongly disagree,agree,disagree,agree
286,287,0.47149855479999997,female,18.0,e. nor. central,65.0,112160.0,53.0,48.0,46.0,73.9,very satisfied,,,,,
287,288,2.35896796,female,15.0,e. nor. central,39.0,31545.0,46.0,47.0,,52.0,mod. satisfied,strongly agree,disagree,disagree,strongly disagree,disagree
288,289,0.47149855479999997,female,12.0,e. nor. central,46.0,38555.0,35.0,39.0,44.0,25.0,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
289,290,1.17948398,female,12.0,e. nor. central,83.0,16648.75,47.0,27.0,,38.8,,strongly agree,agree,disagree,disagree,agree
290,291,0.9429971097,male,17.0,e. nor. central,59.0,84120.0,53.0,31.0,50.0,59.1,mod. satisfied,,,,,
291,292,0.9429971097,female,19.0,e. nor. central,63.0,,38.0,35.0,42.0,59.1,very satisfied,,,,,
292,293,0.47149855479999997,female,12.0,e. nor. central,38.0,31545.0,47.0,36.0,,38.8,mod. satisfied,agree,disagree,disagree,agree,agree
293,294,0.9429971097,male,12.0,e. nor. central,50.0,38555.0,38.0,40.0,46.0,43.0,a little dissat,disagree,disagree,disagree,agree,agree
294,295,0.9429971097,female,11.0,e. nor. central,18.0,1402.0,,48.0,,,,,,,,
295,296,1.4144956640000002,female,16.0,e. nor. central,45.0,112160.0,45.0,53.0,31.0,62.1,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
296,297,0.9429971097,female,11.0,south atlantic,18.0,98140.0,,52.0,,,,agree,strongly disagree,disagree,disagree,agree
297,298,0.9429971097,male,20.0,south atlantic,39.0,158201.8412,,61.0,64.0,,,agree,disagree,,disagree,disagree
298,299,0.47149855479999997,female,20.0,south atlantic,31.0,47317.5,61.0,64.0,72.0,71.7,very satisfied,agree,strongly disagree,disagree,disagree,neither agree nor disagree
299,300,0.47149855479999997,female,16.0,south atlantic,44.0,57832.5,49.0,47.0,61.0,62.1,very satisfied,,,,,
300,301,0.9429971097,female,16.0,south atlantic,46.0,98140.0,52.0,24.0,49.0,77.3,very satisfied,strongly agree,disagree,agree,disagree,disagree
301,302,0.9429971097,female,13.0,south atlantic,56.0,158201.8412,52.0,,50.0,57.0,very satisfied,,,,,
302,303,0.9429971097,male,12.0,south atlantic,37.0,158201.8412,49.0,33.0,49.0,45.4,very satisfied,agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
